Age,Gender,Year,Course,Branch,Bank_Account,Bank_Name,Demat_Account,Broker_Name,Trading_Segment,Income,Income_Source,Expenses,Track_Expenses,Budgeting_Knowledge,Savings
24.0,Male,4th year,B.Com,Not Applicable,Yes,State Bank of India,Yes,Zerodha,Equity;Futures & Options;Mutual Funds;Commodity,10k to 30k,Part - Time Job,less than 5k,Yes,No,10237
20.0,Male,1st year,B.Tech,Mechanical,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,74
19.0,Male,1st year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,645
22.0,Male,2nd year,B.Com,Not Applicable,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,4467
21.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,Yes,Zerodha,Equity;Mutual Funds;Commodity,less than 10k,Family support,less than 5k,Yes,No,161
22.0,Male,3rd year,B.Tech,Electrical,Yes,ICICI Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,0
19.0,Male,1st year,B.Tech,Aerospace,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,0
22.0,Female,4th year,B.Tech,CSE,Yes,ICICI Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,962
19.0,Male,4th year,BA,Not Applicable,Yes,State Bank of India,Yes,Angle One,Equity;Futures & Options;Mutual Funds,less than 10k,Part - Time Job,less than 5k,Yes,Yes,1080
19.0,Male,1st year,B.Tech,CSE,No,Not Available,No,Not Applicable,,more than 30k,Family support,5k to 15k,Yes,Yes,2266
18.0,Male,1st year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,721
20.0,Female,2nd year,B.Tech,Electrical,Yes,State Bank of India,Yes,Upstox,Equity;Futures & Options,10k to 30k,Part - Time Job,less than 5k,Maybe,Yes,2025
19.0,Male,1st year,B.Com,Not Applicable,Yes,State Bank of India,Yes,Grow,Equity;Futures & Options;Mutual Funds,10k to 30k,Part - Time Job,less than 5k,Yes,Yes,2481
20.0,Male,1st year,B.Tech,CSE,Yes,ICICI Bank,Yes,Zerodha,Futures & Options;Mutual Funds,less than 10k,Family support,less than 5k,Yes,Yes,792
20.0,Male,2nd year,BA,Not Applicable,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,0
21.0,Female,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,286
20.0,Male,2nd year,B.Tech,CSE,Yes,ICICI Bank,Yes,Angle One,Equity;Futures & Options;Commodity,10k to 30k,Internship,5k to 15k,Yes,No,3843
20.0,Male,2nd year,B.Tech,Civil,Yes,State Bank of India,No,Not Applicable,,less than 10k,Part - Time Job,less than 5k,Maybe,Yes,982
21.0,Female,3rd year,B.Tech,CSE,Yes,HDFC Bank,Yes,Zerodha,Futures & Options,10k to 30k,Freelancing,5k to 15k,Yes,Yes,772
19.0,Male,1st year,B.Com,Not Applicable,Yes,State Bank of India,Yes,Grow,Equity;Futures & Options;Mutual Funds,10k to 30k,Part - Time Job,less than 5k,Yes,Yes,2217
21.0,Female,3rd year,BBA,Not Applicable,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,564
21.0,Male,2nd year,B.Tech,CSE,Yes,HDFC Bank,Yes,Angle One,Equity;Futures & Options,less than 10k,Part - Time Job,less than 5k,Yes,Yes,544
24.0,Male,4th year,B.Tech,CSE,Yes,HDFC Bank,Yes,Zerodha,Equity;Futures & Options;Mutual Funds,10k to 30k,Startup,5k to 15k,No,No,2214
20.0,Female,2nd year,B.Tech,Electrical,Yes,State Bank of India,Yes,Upstox,Equity;Futures & Options,10k to 30k,Part - Time Job,less than 5k,Maybe,Yes,2123
23.0,Male,4th year,B.Tech,Mechanical,Yes,State Bank of India,Yes,Zerodha,Commodity,10k to 30k,Part - Time Job,less than 5k,No,Yes,8284
21.0,Male,3rd year,B.Tech,Automobile,Yes,HDFC Bank,Yes,Zerodha,Futures & Options;Mutual Funds;Commodity,10k to 30k,Internship,less than 5k,Yes,No,7050
26.0,Male,4th year,BBA,Not Applicable,Yes,ICICI Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,0
20.0,Male,2nd year,B.Tech,Civil,Yes,HDFC Bank,Yes,Angle One,Equity;Futures & Options;Mutual Funds,less than 10k,Freelancing,less than 5k,Yes,Yes,2043
20.0,Male,2nd year,B.Tech,CSE,Yes,ICICI Bank,Yes,Angle One,Equity;Futures & Options;Commodity,10k to 30k,Internship,5k to 15k,Yes,No,3668
