"Timestamp","Age","Gender","Year of study","Course/Program","Branch","Do you have bank Account","Name of bank where you have account","Do you have DEMAT/Trading Account?","Name of your broker where you have DEMAT account","If you have DEMAT account then in which segment you trade?","What is monthly income ?","Tell your source of income ","What is your monthly expenses?","  Do you track your expenses?  ","  Do you understand the concept of budgeting?  ","What is your average monthly Savings?"
"2026/04/18 12:10:18 pm GMT+5:30","21","Male","2nd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","5k to 15k","Yes","No","1200"
"2026/04/18 12:43:17 pm GMT+5:30","19","Male","1st year","B.Com","","Yes","State Bank of India","No","","","less than 10k","Others","less than 5k","Yes","No","1000"
"2026/04/18 12:44:52 pm GMT+5:30","20","Female","2nd year","B.Tech","CSE","No","","","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/18 12:49:47 pm GMT+5:30","20","Male","2nd year","Other","","Yes","State Bank of India","Yes","Grow","Equity;Futures & Options;Mutual Funds","10k to 30k","Freelancing","less than 5k","Yes","No","4000"
"2026/04/18 12:53:41 pm GMT+5:30","18","Male","2nd year","BA","","Yes","State Bank of India","Yes","Angle One","Others","less than 10k","Others","less than 5k","No","Yes","0"
"2026/04/18 1:07:36 pm GMT+5:30","100","Male","4th year","B.Com","","No","","","","","less than 10k","Internship","more than 30k","No","No","1 "
"2026/04/18 1:08:04 pm GMT+5:30","21","Male","3rd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","5k to 15k","Yes","Yes","500"
"2026/04/18 1:09:24 pm GMT+5:30","18","Male","1st year","BBA","","Yes","Pnb","No","","","10k to 30k","Freelancing","5k to 15k","Yes","Yes","5"
"2026/04/18 1:10:10 pm GMT+5:30","22","Male","3rd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","No","Yes","5000"
"2026/04/18 2:59:41 pm GMT+5:30","21","Male","1st year","Other","","Yes","Yes bank","No","","","less than 10k","Others","more than 30k","Yes","No","500"
"2026/04/18 3:02:11 pm GMT+5:30","23","Male","2nd year","Other","","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","No","Yes","200"
"2026/04/18 3:02:23 pm GMT+5:30","21","Male","2nd year","B.Tech","CSE","No","","","","","less than 10k","Family support","less than 5k","No","Yes","1"
"2026/04/18 3:02:31 pm GMT+5:30","20","Male","3rd year","BBA","","Yes","State Bank of India","Yes","Grow","Commodity","less than 10k","Family support","5k to 15k","Yes","Yes","0"
"2026/04/18 3:28:29 pm GMT+5:30","25","Male","2nd year","Other","","Yes","State Bank of India","No","","","less than 10k","Family support","5k to 15k","Yes","Yes","1500"
"2026/04/18 10:01:39 pm GMT+5:30","19","Male","1st year","Other","","Yes","State Bank of India","No","","","less than 10k","Family support","5k to 15k","Maybe","Yes","1000"
"2026/04/18 10:01:43 pm GMT+5:30","20","Male","1st year","Other","","Yes","State Bank of India","Yes","Zerodha","Equity;Mutual Funds;Others","less than 10k","Family support","less than 5k","Maybe","Yes","500"
"2026/04/18 10:01:46 pm GMT+5:30","22","Male","1st year","Other","","Yes","Canara Bank","Yes","Grow","Equity","10k to 30k","Family support","5k to 15k","No","Yes","0"
"2026/04/18 10:02:30 pm GMT+5:30","18","Male","1st year","B.Tech","Electrical","No","","","","","less than 10k","Family support","less than 5k","No","Yes","0"
"2026/04/18 10:02:53 pm GMT+5:30","20","Male","1st year","B.Tech","Electrical","Yes","Canara ","No","","","less than 10k","Family support","5k to 15k","No","No","1000"
"2026/04/18 10:04:07 pm GMT+5:30","18","Male","1st year","B.Tech","Electrical","Yes","India post payments bank","No","","","less than 10k","Family support","less than 5k","No","No","1000"
"2026/04/18 10:04:23 pm GMT+5:30","25","Male","1st year","Other","","Yes","State Bank of India","Yes","Grow","Others","less than 10k","Freelancing","less than 5k","Yes","Yes","5000"
"2026/04/18 10:05:55 pm GMT+5:30","20","Male","3rd year","B.Tech","CSE","Yes","State Bank of India","Yes","Grow","Futures & Options","less than 10k","Internship","15k to 30k","Yes","Yes","25000"
"2026/04/18 10:06:28 pm GMT+5:30","19","Male","1st year","B.Tech","Electrical","Yes","PNB","No","","","less than 10k","Family support","5k to 15k","Yes","No","500"
"2026/04/18 10:07:25 pm GMT+5:30","20","Male","1st year","B.Tech","Electrical","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Yes","Yes","0"
"2026/04/18 10:07:37 pm GMT+5:30","19","Male","1st year","B.Tech","Electrical","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","No","Yes","2500"
"2026/04/18 10:07:56 pm GMT+5:30","19","Male","1st year","BBA","","Yes","Jk","Yes","Grow","Mutual Funds","10k to 30k","Family support","5k to 15k","No","No","1"
"2026/04/18 10:08:35 pm GMT+5:30","19","Male","1st year","B.Tech","CSE","Yes","State Bank of India","Yes","Grow","Equity","less than 10k","Family support","more than 30k","Yes","Yes","0"
"2026/04/18 10:09:26 pm GMT+5:30","18","Male","1st year","B.Tech","Electrical","No","","","","","less than 10k","Family support","less than 5k","No","Yes","0"
